id,receiver_subcategory,ci_subtype,receiver_country,region_name
2344,Transportation,Railway Operators,Switzerland,WESTEU
2344,Transportation,Railway Operators,Switzerland,EUROPE
3235,Digital Provider,Other,Not available,No region
3235,Finance,Payment Processors,Not available,No region
3235,Digital Provider,Other,United States,NORTHAM
3235,Digital Provider,Other,United States,NATO
3235,Finance,Payment Processors,United States,NORTHAM
3235,Finance,Payment Processors,United States,NATO
3237,Critical Manufacturing,Semiconductor Fabricators,"Korea, Republic of",NEA
3237,Critical Manufacturing,Semiconductor Fabricators,"Korea, Republic of",SCS
3237,Critical Manufacturing,Semiconductor Fabricators,"Korea, Republic of",ASIA
3238,Health,Hospitals,Japan,NEA
3238,Health,Hospitals,Japan,SCS
3238,Health,Hospitals,Japan,ASIA
3242,Health,Hospitals,Sweden,NORTHEU
3242,Health,Hospitals,Sweden,EU
3242,Health,Hospitals,Sweden,EUROPE
3264,Critical Manufacturing,Computer hardware and electronics,Philippines,SEA
3264,Critical Manufacturing,Computer hardware and electronics,Philippines,SCS
3264,Critical Manufacturing,Computer hardware and electronics,Philippines,ASIA
46,Defence industry,Unknown,"Iran, Islamic Republic of",MEA
46,Defence industry,Unknown,"Iran, Islamic Republic of",MENA
46,Defence industry,Unknown,"Iran, Islamic Republic of",ASIA
3094,Digital Provider,Software Development Companies,United States,NORTHAM
3094,Digital Provider,Software Development Companies,United States,NATO
3094,Digital Provider,Cloud Computing Services,United States,NORTHAM
3094,Digital Provider,Cloud Computing Services,United States,NATO
3094,Digital Provider,Web Hosting,United States,NORTHAM
3094,Digital Provider,Web Hosting,United States,NATO
3433,Critical Manufacturing,Computer hardware and electronics,Not available,No region
3433,Critical Manufacturing,Computer hardware and electronics,Japan,NEA
3433,Critical Manufacturing,Computer hardware and electronics,Japan,SCS
3433,Critical Manufacturing,Computer hardware and electronics,Japan,ASIA
2036,Health,Pharmaceutical and Biotech companies,South America,SOUTHAM
2036,Health,Pharmaceutical and Biotech companies,North America,NORTHAM
2826,Digital Provider,Cloud Computing Services,United Kingdom,NORTHEU
2826,Digital Provider,Cloud Computing Services,United Kingdom,EU
2826,Digital Provider,Cloud Computing Services,United Kingdom,NATO
2826,Digital Provider,Cloud Computing Services,United Kingdom,EUROPE
2827,Health,Hospitals,United States,NORTHAM
2827,Health,Hospitals,United States,NATO
3021,Food,Food Service Providers,Singapore,ASIA
3432,Waste Water Management,Unknown,United States,NORTHAM
3432,Waste Water Management,Unknown,United States,NATO
3432,Food,Agricultural Operations,United States,NORTHAM
3432,Food,Agricultural Operations,United States,NATO
3432,Food,Food Processing Companies,United States,NORTHAM
3432,Food,Food Processing Companies,United States,NATO
3432,Water,Water and Wastewater Systems,United States,NORTHAM
3432,Water,Water and Wastewater Systems,United States,NATO
3432,Energy,Unknown,United States,NORTHAM
3432,Energy,Unknown,United States,NATO
3432,Waste Water Management,Unknown,Europe (region),EUROPE
3432,Food,Agricultural Operations,Europe (region),EUROPE
3432,Food,Food Processing Companies,Europe (region),EUROPE
3432,Water,Water and Wastewater Systems,Europe (region),EUROPE
3432,Energy,Unknown,Europe (region),EUROPE
3432,Waste Water Management,Unknown,Canada,NORTHAM
3432,Waste Water Management,Unknown,Canada,NATO
3432,Food,Agricultural Operations,Canada,NORTHAM
3432,Food,Agricultural Operations,Canada,NATO
3432,Food,Food Processing Companies,Canada,NORTHAM
3432,Food,Food Processing Companies,Canada,NATO
3432,Water,Water and Wastewater Systems,Canada,NORTHAM
3432,Water,Water and Wastewater Systems,Canada,NATO
3432,Energy,Unknown,Canada,NORTHAM
3432,Energy,Unknown,Canada,NATO
3437,Telecommunications,Internet Service Providers,Turkey,MEA
3437,Telecommunications,Internet Service Providers,Turkey,NATO
3437,Telecommunications,Internet Service Providers,Turkey,ASIA
3437,Telecommunications,Satellite Communications,Turkey,MEA
3437,Telecommunications,Satellite Communications,Turkey,NATO
3437,Telecommunications,Satellite Communications,Turkey,ASIA
3437,Transportation,Airlines,Turkey,MEA
3437,Transportation,Airlines,Turkey,NATO
3437,Transportation,Airlines,Turkey,ASIA
3437,Telecommunications,Internet Service Providers,Global (region),No region
3437,Telecommunications,Satellite Communications,Global (region),No region
3437,Transportation,Airlines,Global (region),No region
3439,Food,Food Service Providers,United States,NORTHAM
3439,Food,Food Service Providers,United States,NATO
3440,Health,Healthcare Support and Services,Not available,No region
3440,Health,Other healthcare providers,Not available,No region
3440,Health,Hospitals,Not available,No region
3440,Health,Healthcare Support and Services,Germany,WESTEU
3440,Health,Healthcare Support and Services,Germany,EU
3440,Health,Healthcare Support and Services,Germany,NATO
3440,Health,Healthcare Support and Services,Germany,EUROPE
3440,Health,Other healthcare providers,Germany,WESTEU
3440,Health,Other healthcare providers,Germany,EU
3440,Health,Other healthcare providers,Germany,NATO
3440,Health,Other healthcare providers,Germany,EUROPE
3440,Health,Hospitals,Germany,WESTEU
3440,Health,Hospitals,Germany,EU
3440,Health,Hospitals,Germany,NATO
3440,Health,Hospitals,Germany,EUROPE
1659,Transportation,Logistics Companies,Poland,EASTEU
1659,Transportation,Logistics Companies,Poland,EU
1659,Transportation,Logistics Companies,Poland,NATO
1659,Transportation,Logistics Companies,Poland,EUROPE
1659,Transportation,Logistics Companies,Ukraine,EASTEU
1659,Transportation,Logistics Companies,Ukraine,EUROPE
2318,Research,University Research Departments,United States,NORTHAM
2318,Research,University Research Departments,United States,NATO
2318,Critical Manufacturing,Unknown,United States,NORTHAM
2318,Critical Manufacturing,Unknown,United States,NATO
2318,Energy,Unknown,United States,NORTHAM
2318,Energy,Unknown,United States,NATO
2318,Telecommunications,Unknown,United States,NORTHAM
2318,Telecommunications,Unknown,United States,NATO
2318,Transportation,Airlines,United States,NORTHAM
2318,Transportation,Airlines,United States,NATO
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",United States,NORTHAM
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",United States,NATO
2318,Health,Healthcare Support and Services,United States,NORTHAM
2318,Health,Healthcare Support and Services,United States,NATO
2318,Health,Health insurances,United States,NORTHAM
2318,Health,Health insurances,United States,NATO
2318,Health,Other healthcare providers,United States,NORTHAM
2318,Health,Other healthcare providers,United States,NATO
2318,Finance,Pension Funds,United States,NORTHAM
2318,Finance,Pension Funds,United States,NATO
2318,Finance,Insurance Companies,United States,NORTHAM
2318,Finance,Insurance Companies,United States,NATO
2318,Finance,Banks,United States,NORTHAM
2318,Finance,Banks,United States,NATO
2318,Research,University Research Departments,United Kingdom,NORTHEU
2318,Research,University Research Departments,United Kingdom,EU
2318,Research,University Research Departments,United Kingdom,NATO
2318,Research,University Research Departments,United Kingdom,EUROPE
2318,Critical Manufacturing,Unknown,United Kingdom,NORTHEU
2318,Critical Manufacturing,Unknown,United Kingdom,EU
2318,Critical Manufacturing,Unknown,United Kingdom,NATO
2318,Critical Manufacturing,Unknown,United Kingdom,EUROPE
2318,Energy,Unknown,United Kingdom,NORTHEU
2318,Energy,Unknown,United Kingdom,EU
2318,Energy,Unknown,United Kingdom,NATO
2318,Energy,Unknown,United Kingdom,EUROPE
2318,Telecommunications,Unknown,United Kingdom,NORTHEU
2318,Telecommunications,Unknown,United Kingdom,EU
2318,Telecommunications,Unknown,United Kingdom,NATO
2318,Telecommunications,Unknown,United Kingdom,EUROPE
2318,Transportation,Airlines,United Kingdom,NORTHEU
2318,Transportation,Airlines,United Kingdom,EU
2318,Transportation,Airlines,United Kingdom,NATO
2318,Transportation,Airlines,United Kingdom,EUROPE
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",United Kingdom,NORTHEU
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",United Kingdom,EU
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",United Kingdom,NATO
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",United Kingdom,EUROPE
2318,Health,Healthcare Support and Services,United Kingdom,NORTHEU
2318,Health,Healthcare Support and Services,United Kingdom,EU
2318,Health,Healthcare Support and Services,United Kingdom,NATO
2318,Health,Healthcare Support and Services,United Kingdom,EUROPE
2318,Health,Health insurances,United Kingdom,NORTHEU
2318,Health,Health insurances,United Kingdom,EU
2318,Health,Health insurances,United Kingdom,NATO
2318,Health,Health insurances,United Kingdom,EUROPE
2318,Health,Other healthcare providers,United Kingdom,NORTHEU
2318,Health,Other healthcare providers,United Kingdom,EU
2318,Health,Other healthcare providers,United Kingdom,NATO
2318,Health,Other healthcare providers,United Kingdom,EUROPE
2318,Finance,Pension Funds,United Kingdom,NORTHEU
2318,Finance,Pension Funds,United Kingdom,EU
2318,Finance,Pension Funds,United Kingdom,NATO
2318,Finance,Pension Funds,United Kingdom,EUROPE
2318,Finance,Insurance Companies,United Kingdom,NORTHEU
2318,Finance,Insurance Companies,United Kingdom,EU
2318,Finance,Insurance Companies,United Kingdom,NATO
2318,Finance,Insurance Companies,United Kingdom,EUROPE
2318,Finance,Banks,United Kingdom,NORTHEU
2318,Finance,Banks,United Kingdom,EU
2318,Finance,Banks,United Kingdom,NATO
2318,Finance,Banks,United Kingdom,EUROPE
2318,Research,University Research Departments,Canada,NORTHAM
2318,Research,University Research Departments,Canada,NATO
2318,Critical Manufacturing,Unknown,Canada,NORTHAM
2318,Critical Manufacturing,Unknown,Canada,NATO
2318,Energy,Unknown,Canada,NORTHAM
2318,Energy,Unknown,Canada,NATO
2318,Telecommunications,Unknown,Canada,NORTHAM
2318,Telecommunications,Unknown,Canada,NATO
2318,Transportation,Airlines,Canada,NORTHAM
2318,Transportation,Airlines,Canada,NATO
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",Canada,NORTHAM
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",Canada,NATO
2318,Health,Healthcare Support and Services,Canada,NORTHAM
2318,Health,Healthcare Support and Services,Canada,NATO
2318,Health,Health insurances,Canada,NORTHAM
2318,Health,Health insurances,Canada,NATO
2318,Health,Other healthcare providers,Canada,NORTHAM
2318,Health,Other healthcare providers,Canada,NATO
2318,Finance,Pension Funds,Canada,NORTHAM
2318,Finance,Pension Funds,Canada,NATO
2318,Finance,Insurance Companies,Canada,NORTHAM
2318,Finance,Insurance Companies,Canada,NATO
2318,Finance,Banks,Canada,NORTHAM
2318,Finance,Banks,Canada,NATO
2318,Research,University Research Departments,India,SCO
2318,Research,University Research Departments,India,SASIA
2318,Research,University Research Departments,India,ASIA
2318,Critical Manufacturing,Unknown,India,SCO
2318,Critical Manufacturing,Unknown,India,SASIA
2318,Critical Manufacturing,Unknown,India,ASIA
2318,Energy,Unknown,India,SCO
2318,Energy,Unknown,India,SASIA
2318,Energy,Unknown,India,ASIA
2318,Telecommunications,Unknown,India,SCO
2318,Telecommunications,Unknown,India,SASIA
2318,Telecommunications,Unknown,India,ASIA
2318,Transportation,Airlines,India,SCO
2318,Transportation,Airlines,India,SASIA
2318,Transportation,Airlines,India,ASIA
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",India,SCO
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",India,SASIA
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",India,ASIA
2318,Health,Healthcare Support and Services,India,SCO
2318,Health,Healthcare Support and Services,India,SASIA
2318,Health,Healthcare Support and Services,India,ASIA
2318,Health,Health insurances,India,SCO
2318,Health,Health insurances,India,SASIA
2318,Health,Health insurances,India,ASIA
2318,Health,Other healthcare providers,India,SCO
2318,Health,Other healthcare providers,India,SASIA
2318,Health,Other healthcare providers,India,ASIA
2318,Finance,Pension Funds,India,SCO
2318,Finance,Pension Funds,India,SASIA
2318,Finance,Pension Funds,India,ASIA
2318,Finance,Insurance Companies,India,SCO
2318,Finance,Insurance Companies,India,SASIA
2318,Finance,Insurance Companies,India,ASIA
2318,Finance,Banks,India,SCO
2318,Finance,Banks,India,SASIA
2318,Finance,Banks,India,ASIA
2318,Research,University Research Departments,Ireland,NORTHEU
2318,Research,University Research Departments,Ireland,EU
2318,Research,University Research Departments,Ireland,EUROPE
2318,Critical Manufacturing,Unknown,Ireland,NORTHEU
2318,Critical Manufacturing,Unknown,Ireland,EU
2318,Critical Manufacturing,Unknown,Ireland,EUROPE
2318,Energy,Unknown,Ireland,NORTHEU
2318,Energy,Unknown,Ireland,EU
2318,Energy,Unknown,Ireland,EUROPE
2318,Telecommunications,Unknown,Ireland,NORTHEU
2318,Telecommunications,Unknown,Ireland,EU
2318,Telecommunications,Unknown,Ireland,EUROPE
2318,Transportation,Airlines,Ireland,NORTHEU
2318,Transportation,Airlines,Ireland,EU
2318,Transportation,Airlines,Ireland,EUROPE
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",Ireland,NORTHEU
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",Ireland,EU
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",Ireland,EUROPE
2318,Health,Healthcare Support and Services,Ireland,NORTHEU
2318,Health,Healthcare Support and Services,Ireland,EU
2318,Health,Healthcare Support and Services,Ireland,EUROPE
2318,Health,Health insurances,Ireland,NORTHEU
2318,Health,Health insurances,Ireland,EU
2318,Health,Health insurances,Ireland,EUROPE
2318,Health,Other healthcare providers,Ireland,NORTHEU
2318,Health,Other healthcare providers,Ireland,EU
2318,Health,Other healthcare providers,Ireland,EUROPE
2318,Finance,Pension Funds,Ireland,NORTHEU
2318,Finance,Pension Funds,Ireland,EU
2318,Finance,Pension Funds,Ireland,EUROPE
2318,Finance,Insurance Companies,Ireland,NORTHEU
2318,Finance,Insurance Companies,Ireland,EU
2318,Finance,Insurance Companies,Ireland,EUROPE
2318,Finance,Banks,Ireland,NORTHEU
2318,Finance,Banks,Ireland,EU
2318,Finance,Banks,Ireland,EUROPE
2318,Research,University Research Departments,France,WESTEU
2318,Research,University Research Departments,France,EU
2318,Research,University Research Departments,France,NATO
2318,Research,University Research Departments,France,EUROPE
2318,Critical Manufacturing,Unknown,France,WESTEU
2318,Critical Manufacturing,Unknown,France,EU
2318,Critical Manufacturing,Unknown,France,NATO
2318,Critical Manufacturing,Unknown,France,EUROPE
2318,Energy,Unknown,France,WESTEU
2318,Energy,Unknown,France,EU
2318,Energy,Unknown,France,NATO
2318,Energy,Unknown,France,EUROPE
2318,Telecommunications,Unknown,France,WESTEU
2318,Telecommunications,Unknown,France,EU
2318,Telecommunications,Unknown,France,NATO
2318,Telecommunications,Unknown,France,EUROPE
2318,Transportation,Airlines,France,WESTEU
2318,Transportation,Airlines,France,EU
2318,Transportation,Airlines,France,NATO
2318,Transportation,Airlines,France,EUROPE
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",France,WESTEU
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",France,EU
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",France,NATO
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",France,EUROPE
2318,Health,Healthcare Support and Services,France,WESTEU
2318,Health,Healthcare Support and Services,France,EU
2318,Health,Healthcare Support and Services,France,NATO
2318,Health,Healthcare Support and Services,France,EUROPE
2318,Health,Health insurances,France,WESTEU
2318,Health,Health insurances,France,EU
2318,Health,Health insurances,France,NATO
2318,Health,Health insurances,France,EUROPE
2318,Health,Other healthcare providers,France,WESTEU
2318,Health,Other healthcare providers,France,EU
2318,Health,Other healthcare providers,France,NATO
2318,Health,Other healthcare providers,France,EUROPE
2318,Finance,Pension Funds,France,WESTEU
2318,Finance,Pension Funds,France,EU
2318,Finance,Pension Funds,France,NATO
2318,Finance,Pension Funds,France,EUROPE
2318,Finance,Insurance Companies,France,WESTEU
2318,Finance,Insurance Companies,France,EU
2318,Finance,Insurance Companies,France,NATO
2318,Finance,Insurance Companies,France,EUROPE
2318,Finance,Banks,France,WESTEU
2318,Finance,Banks,France,EU
2318,Finance,Banks,France,NATO
2318,Finance,Banks,France,EUROPE
2318,Research,University Research Departments,Not available,No region
2318,Critical Manufacturing,Unknown,Not available,No region
2318,Energy,Unknown,Not available,No region
2318,Telecommunications,Unknown,Not available,No region
2318,Transportation,Airlines,Not available,No region
2318,Health,"Specialised Service Providers (Dental, Optometry, Podiatry)",Not available,No region
2318,Health,Healthcare Support and Services,Not available,No region
2318,Health,Health insurances,Not available,No region
2318,Health,Other healthcare providers,Not available,No region
2318,Finance,Pension Funds,Not available,No region
2318,Finance,Insurance Companies,Not available,No region
2318,Finance,Banks,Not available,No region
2318,Research,University Research Departments,Belgium,WESTEU
2318,Research,University Research Departments,Belgium,NATO
2318,Research,University Research Departments,Belgium,EU
2318,Research,University Research Departments,Belgium,EUROPE
2318,Critical Manufacturing,Unknown,Belgium,WESTEU
2318,Critical Manufacturing,Unknown,Belgium,NATO
2318,Critical Manufacturing,Unknown,Belgium,EU
2318,Critical Manufacturing,Unknown,Belgium,EUROPE
2318,Energy,Unknown,Belgium,WESTEU
2318,Energy,Unknown,Belgium,NATO
2318,Energy,Unknown,Belgium,EU
2318,Energy,Unknown,Belgium,EUROPE
